poll_id,pollster_id,pollster,sponsor_ids,sponsors,display_name,pollster_rating_id,pollster_rating_name,fte_grade,methodology,state,start_date,end_date,sponsor_candidate_id,sponsor_candidate,sponsor_candidate_party,question_id,sample_size,population,subpopulation,population_full,tracking,created_at,notes,url,source,internal,partisan,race_id,cycle,office_type,seat_number,seat_name,election_date,stage,nationwide_batch,ranked_choice_reallocated,ranked_choice_round,party,answer,candidate_id,candidate_name,pct
84096,1726,Premise,,,Premise,709,Premise,B/C,App Panel,,8/30/2023,9/5/2023,,,,181024,1701,a,,a,,9/6/2023 15:16,,https://projects.fivethirtyeight.com/polls/20230906_US_Premise.pdf,,FALSE,,8914,2024,U.S. President,0,,11/5/2024,general,FALSE,FALSE,,DEM,Biden,19368,Joe Biden,37
84096,1726,Premise,,,Premise,709,Premise,B/C,App Panel,,8/30/2023,9/5/2023,,,,181024,1701,a,,a,,9/6/2023 15:16,,https://projects.fivethirtyeight.com/polls/20230906_US_Premise.pdf,,FALSE,,8914,2024,U.S. President,0,,11/5/2024,general,FALSE,FALSE,,REP,Trump,16651,Donald Trump,42
84096,1726,Premise,,,Premise,709,Premise,B/C,App Panel,,8/30/2023,9/5/2023,,,,181025,1701,a,,a,,9/6/2023 15:16,,https://projects.fivethirtyeight.com/polls/20230906_US_Premise.pdf,,FALSE,,8914,2024,U.S. President,0,,11/5/2024,general,FALSE,FALSE,,DEM,Biden,19368,Joe Biden,35
84096,1726,Premise,,,Premise,709,Premise,B/C,App Panel,,8/30/2023,9/5/2023,,,,181025,1701,a,,a,,9/6/2023 15:16,,https://projects.fivethirtyeight.com/polls/20230906_US_Premise.pdf,,FALSE,,8914,2024,U.S. President,0,,11/5/2024,general,FALSE,FALSE,,REP,DeSantis,16646,Ron DeSantis,33
84096,1726,Premise,,,Premise,709,Premise,B/C,App Panel,,8/30/2023,9/5/2023,,,,181044,1387,rv,,rv,,9/6/2023 15:36,,https://projects.fivethirtyeight.com/polls/20230906_US_Premise2.pdf,,FALSE,,8914,2024,U.S. President,0,,11/5/2024,general,FALSE,FALSE,,DEM,Biden,19368,Joe Biden,38
84096,1726,Premise,,,Premise,709,Premise,B/C,App Panel,,8/30/2023,9/5/2023,,,,181044,1387,rv,,rv,,9/6/2023 15:36,,https://projects.fivethirtyeight.com/polls/20230906_US_Premise2.pdf,,FALSE,,8914,2024,U.S. President,0,,11/5/2024,general,FALSE,FALSE,,REP,Trump,16651,Donald Trump,44
84096,1726,Premise,,,Premise,709,Premise,B/C,App Panel,,8/30/2023,9/5/2023,,,,181045,1387,rv,,rv,,9/6/2023 15:36,,https://projects.fivethirtyeight.com/polls/20230906_US_Premise2.pdf,,FALSE,,8914,2024,U.S. President,0,,11/5/2024,general,FALSE,FALSE,,DEM,Biden,19368,Joe Biden,37
84096,1726,Premise,,,Premise,709,Premise,B/C,App Panel,,8/30/2023,9/5/2023,,,,181045,1387,rv,,rv,,9/6/2023 15:36,,https://projects.fivethirtyeight.com/polls/20230906_US_Premise2.pdf,,FALSE,,8914,2024,U.S. President,0,,11/5/2024,general,FALSE,FALSE,,REP,DeSantis,16646,Ron DeSantis,35
84115,1562,Redfield & Wilton Strategies,,,Redfield & Wilton Strategies,562,Redfield & Wilton Strategies,B/C,Online Panel,,9/3/2023,9/4/2023,,,,181267,1500,rv,,rv,,9/8/2023 12:47,,https://redfieldandwiltonstrategies.com/joe-biden-administration-approval-ratings-and-hypothetical-voting-intention-3-4-september-2023/,,FALSE,,8914,2024,U.S. President,0,,11/5/2024,general,FALSE,FALSE,,DEM,Biden,19368,Joe Biden,36
84115,1562,Redfield & Wilton Strategies,,,Redfield & Wilton Strategies,562,Redfield & Wilton Strategies,B/C,Online Panel,,9/3/2023,9/4/2023,,,,181267,1500,rv,,rv,,9/8/2023 12:47,,https://redfieldandwiltonstrategies.com/joe-biden-administration-approval-ratings-and-hypothetical-voting-intention-3-4-september-2023/,,FALSE,,8914,2024,U.S. President,0,,11/5/2024,general,FALSE,FALSE,,REP,Trump,16651,Donald Trump,38
